world_cup_year,match_id,source_match_id,stage,group_name,match_date,home_team,away_team,stadium,city,host_country,attendance,stadium_capacity,final_flag,extra_time_flag,penalty_flag,attendance_status,metadata_source_url,attendance_source_url
2010,2010_35,M-2010-35,group stage,Group B,2010-06-22,Greece,Argentina,Peter Mokaba Stadium,Polokwane,South Africa,38891.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_36,M-2010-36,group stage,Group B,2010-06-22,Nigeria,South Korea,Moses Mabhida Stadium,Durban,South Africa,61874.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_37,M-2010-37,group stage,Group C,2010-06-23,Slovenia,England,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,36893.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_38,M-2010-38,group stage,Group C,2010-06-23,United States,Algeria,Loftus Versfeld Stadium,Pretoria,South Africa,35827.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_39,M-2010-39,group stage,Group D,2010-06-23,Australia,Serbia,Mbombela Stadium,Nelspruit,South Africa,37836.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_40,M-2010-40,group stage,Group D,2010-06-23,Ghana,Germany,Soccer City,Johannesburg,South Africa,83391.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_41,M-2010-41,group stage,Group F,2010-06-24,Paraguay,New Zealand,Peter Mokaba Stadium,Polokwane,South Africa,34850.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_42,M-2010-42,group stage,Group F,2010-06-24,Slovakia,Italy,Ellis Park Stadium,Johannesburg,South Africa,53412.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_43,M-2010-43,group stage,Group E,2010-06-24,Cameroon,Netherlands,Cape Town Stadium,Cape Town,South Africa,63093.0,64000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_44,M-2010-44,group stage,Group E,2010-06-24,Denmark,Japan,Royal Bafokeng Stadium,Rustenburg,South Africa,27967.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_45,M-2010-45,group stage,Group G,2010-06-25,North Korea,Ivory Coast,Mbombela Stadium,Nelspruit,South Africa,34763.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_46,M-2010-46,group stage,Group G,2010-06-25,Portugal,Brazil,Moses Mabhida Stadium,Durban,South Africa,62712.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_47,M-2010-47,group stage,Group H,2010-06-25,Chile,Spain,Loftus Versfeld Stadium,Pretoria,South Africa,41958.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_48,M-2010-48,group stage,Group H,2010-06-25,Switzerland,Honduras,Free State Stadium,Bloemfontein,South Africa,28042.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_49,M-2010-49,round of 16,not applicable,2010-06-26,Uruguay,South Korea,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,30597.0,42000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_50,M-2010-50,round of 16,not applicable,2010-06-26,United States,Ghana,Royal Bafokeng Stadium,Rustenburg,South Africa,34976.0,42000,0,1,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_51,M-2010-51,round of 16,not applicable,2010-06-27,Germany,England,Free State Stadium,Bloemfontein,South Africa,40510.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_52,M-2010-52,round of 16,not applicable,2010-06-27,Argentina,Mexico,Soccer City,Johannesburg,South Africa,84377.0,84000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_53,M-2010-53,round of 16,not applicable,2010-06-28,Netherlands,Slovakia,Moses Mabhida Stadium,Durban,South Africa,61962.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2010,2010_54,M-2010-54,round of 16,not applicable,2010-06-28,Brazil,Chile,Ellis Park Stadium,Johannesburg,South Africa,54096.0,56000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
