world_cup_year,host_country,match_id,stage,match_date,home_team,away_team,stadium,city,attendance,stadium_capacity,attendance_status,final_flag,extra_time_flag,penalty_flag,host_team_flag,opening_match_flag,avg_per_match_benchmark_m,final_benchmark_m,opening_benchmark_m,stage_weight,attendance_ratio,attendance_factor,host_factor,suspense_factor,raw_index,scale_factor,override_viewers_m,estimated_global_viewers_m,model_note,source_bridge
2010,South Africa,2010_23,group stage,2010-06-18,England,Algeria,Cape Town Stadium,Cape Town,64100.0,64000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,1.0015625,1.15046875,1.0,1.0,0.9433843749999998,171.1086389255962,,161.4212163899242,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_24,group stage,2010-06-19,Netherlands,Japan,Moses Mabhida Stadium,Durban,62010.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9842857142857143,1.1452857142857142,1.0,1.0,0.9391342857142856,171.1086389255962,,160.6939893969334,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_25,group stage,2010-06-19,Ghana,Australia,Royal Bafokeng Stadium,Rustenburg,34812.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8288571428571428,1.0986571428571428,1.0,1.0,0.900898857142857,171.1086389255962,,154.1515772553394,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_26,group stage,2010-06-19,Cameroon,Denmark,Loftus Versfeld Stadium,Pretoria,38074.0,43000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8854418604651163,1.1156325581395348,1.0,1.0,0.9148186976744185,171.1086389255962,,156.53338222275625,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_27,group stage,2010-06-20,Slovakia,Paraguay,Free State Stadium,Bloemfontein,26643.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.649829268292683,1.0449487804878048,1.0,1.0,0.8568579999999999,171.1086389255962,,146.6158061325085,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_28,group stage,2010-06-20,Italy,New Zealand,Mbombela Stadium,Nelspruit,38229.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9324146341463415,1.1297243902439025,1.0,1.0,0.926374,171.1086389255962,,158.51059427606026,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_29,group stage,2010-06-20,Brazil,Ivory Coast,Soccer City,Johannesburg,84455.0,84000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,1.0054166666666666,1.151625,1.0,1.0,0.9443324999999999,171.1086389255962,,161.58344876820556,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_30,group stage,2010-06-21,Portugal,North Korea,Cape Town Stadium,Cape Town,63644.0,64000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9944375,1.14833125,1.0,1.0,0.941631625,171.1086389255962,,161.1213057230474,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_31,group stage,2010-06-21,Chile,Switzerland,Nelson Mandela Bay Stadium,Port Elizabeth,34872.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.8302857142857143,1.0990857142857142,1.0,1.0,0.9012502857142856,171.1086389255962,,154.2117097198761,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_32,group stage,2010-06-21,Spain,Honduras,Ellis Park Stadium,Johannesburg,54386.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9711785714285714,1.1413535714285714,1.0,1.0,0.9359099285714285,171.1086389255962,,160.1422740348091,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_33,group stage,2010-06-22,France,South Africa,Free State Stadium,Bloemfontein,39415.0,41000,real_match_attendance,0,0,0,1,0,188.4,909.6,0.0,0.82,0.9613414634146341,1.1384024390243903,1.25,1.0,1.1668625000000001,171.1086389255962,,199.66025418831853,Modeled from Layer A average-per-match benchmark; stage=group stage; host-team uplift; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_34,group stage,2010-06-22,Mexico,Uruguay,Royal Bafokeng Stadium,Rustenburg,33425.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.7958333333333333,1.0887499999999999,1.0,1.0,0.8927749999999999,171.1086389255962,,152.76151511679913,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_35,group stage,2010-06-22,Greece,Argentina,Peter Mokaba Stadium,Polokwane,38891.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9259761904761905,1.127792857142857,1.0,1.0,0.9247901428571427,171.1086389255962,,158.23958263609336,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
